order_id,order_date,customer_id,country,product_category,unit_price,quantity,total_amount,is_fraud
ORD-1234567890,2024-02-15,ABC-123456,Colombia,Electronics,100.5,5.0,501.5,False
ORD-2345678901,2024-02-20,DEF-987654,Chile,Clothing,50.25,3.0,151.75,True
ORD-3456789012,2024-02-22,ABC-123456,Mexico,Home,75.0,2.0,150.0,False
ORD-4567890123,2024-02-25,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-5678901234,2024-02-27,ABC-123456,Colombia,Electronics,125.0,2.0,250.0,False
ORD-6789012345,2024-02-28,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-7890123456,2024-02-29,ABC-123456,Mexico,Home,100.0,1.0,100.0,False
ORD-8901234567,2024-03-01,DEF-987654,Peru,Electronics,75.0,2.0,150.0,False
ORD-9012345678,2024-03-03,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-0123456789,2024-03-04,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-1234567890,2024-03-06,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-2345678901,2024-03-08,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-3456789012,2024-03-10,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-4567890123,2024-03-12,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-5678901234,2024-03-14,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-6789012345,2024-03-16,DEF-987654,Peru,Home,75.0,2.0,150.0,False
ORD-7890123456,2024-03-18,ABC-123456,Colombia,Clothing,50.0,5.0,250.0,False
ORD-8901234567,2024-03-20,DEF-987654,Chile,Home,75.0,3.0,225.0,False
ORD-9012345678,2024-03-22,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-0123456789,2024-03-24,DEF-987654,Peru,Clothing,25.0,1.0,25.0,False
ORD-1234567890,2024-03-26,ABC-123456,Colombia,Home,100.0,1.0,100.0,False
ORD-2345678901,2024-03-28,DEF-987654,Chile,Clothing,50.0,3.0,150.0,False
ORD-3456789012,2024-03-30,ABC-123456,Mexico,Electronics,125.0,2.0,250.0,False
ORD-4567890123,2024-03-31,DEF-987654,Peru,Home,75.0,2.0,150.0,False
